Feature,DemographicParityRatio,AverageOddsDifference,fs,iteration,participant_id
CNT_CHILDREN,0.8405636916275214,0.13394942882813504,0.5,0,
AMT_INCOME_TOTAL,0.7905164443270374,0.1552210838828998,0.5,0,
AMT_CREDIT,0.8043787629994525,0.17772084999278154,0.5,0,
AMT_ANNUITY,0.770995670995671,0.2183846666038136,0.5,0,
AMT_GOODS_PRICE,0.8296296296296296,0.12071113599776023,0.5,0,
REGION_POPULATION_RELATIVE,0.8078757323886088,0.21326660541308404,0.5,0,
AGE,0.6829113924050634,0.3414592299381896,0.5,0,
YEARS_EMPLOYED,0.642965204236006,0.41452813638612745,0.5,0,
YEARS_REGISTRATION,0.8492121977752044,0.10766650923071824,0.5,0,
YEARS_ID_PUBLISH,0.8096299014468442,0.15895849240784157,0.5,0,
FLAG_MOBIL,,,0.5,0,
FLAG_EMP_PHONE,0.8262263686836743,0.1947713619700707,0.5,0,
FLAG_WORK_PHONE,0.8166520921111906,0.11892104388637337,0.5,0,
FLAG_CONT_MOBILE,0.7121364092276831,0.35017543859649125,0.5,0,
FLAG_PHONE,0.9219663384204951,0.030425999621053745,0.5,0,
FLAG_EMAIL,0.8657047724750279,0.0951110591536124,0.5,0,
CNT_FAM_MEMBERS,0.838191699604743,0.14024500907441012,0.5,0,
REGION_RATING_CLIENT,0.7181708299758259,0.26741907962211053,0.5,0,
REGION_RATING_CLIENT_W_CITY,0.6763196480938417,0.29384659524187035,0.5,0,
HOUR_APPR_PROCESS_START,0.8180997517490408,0.12234073696307635,0.5,0,
REG_REGION_NOT_LIVE_REGION,0.8895939086294415,0.050971683080003494,0.5,0,
REG_REGION_NOT_WORK_REGION,0.9095816464237517,0.08482973754893616,0.5,0,
LIVE_REGION_NOT_WORK_REGION,0.8809681802382532,0.11121111800813854,0.5,0,
REG_CITY_NOT_LIVE_CITY,0.6387197073616826,0.23032543114262533,0.5,0,
REG_CITY_NOT_WORK_CITY,0.750648393751842,0.188516525498137,0.5,0,
LIVE_CITY_NOT_WORK_CITY,0.8254308567658942,0.13067794234804403,0.5,0,
OBS_30_CNT_SOCIAL_CIRCLE,0.9428243195475434,0.08523752563226253,0.5,0,
DEF_30_CNT_SOCIAL_CIRCLE,0.5134318868224448,0.3205870701201683,0.5,0,
OBS_60_CNT_SOCIAL_CIRCLE,0.9740259740259741,0.09483142506277883,0.5,0,
DEF_60_CNT_SOCIAL_CIRCLE,0.6926536731634182,0.1910905533780195,0.5,0,
YEARS_LAST_PHONE_CHANGE,0.7275762221086697,0.22674232838425723,0.5,0,
AMT_REQ_CREDIT_BUREAU_HOUR,0.7425860023724793,0.3209005376344086,0.5,0,
AMT_REQ_CREDIT_BUREAU_DAY,0.6666666666666666,0.15772251308900526,0.5,0,
AMT_REQ_CREDIT_BUREAU_WEEK,0.0,0.6857142857142857,0.5,0,
AMT_REQ_CREDIT_BUREAU_MON,0.8887628554143981,0.1848599076230103,0.5,0,
AMT_REQ_CREDIT_BUREAU_QRT,0.855560005339741,0.15764260249554368,0.5,0,
AMT_REQ_CREDIT_BUREAU_YEAR,0.9011427534917467,0.09495436105476679,0.5,0,
NAME_CONTRACT_TYPE,0.7540153631284916,0.22753431641480054,0.5,0,
CODE_GENDER,0.8465608465608465,0.1364504500491833,0.5,0,
FLAG_OWN_CAR,0.8380803051855684,0.07579476443375982,0.5,0,
FLAG_OWN_REALTY,0.9329268292682927,0.05464951259469422,0.5,0,
NAME_TYPE_SUITE,0.6,0.5324675324675325,0.5,0,
NAME_INCOME_TYPE,0.7666975881261596,0.24130813040387514,0.5,0,
NAME_EDUCATION_TYPE,0.5882352941176471,0.3800505050505051,0.5,0,
NAME_FAMILY_STATUS,0.7118155216106856,0.2420183131867741,0.5,0,
NAME_HOUSING_TYPE,0.4,0.75,0.5,0,
OCCUPATION_TYPE,0.2727272727272727,0.875,0.5,0,
WEEKDAY_APPR_PROCESS_START,0.8343434343434344,0.116869918699187,0.5,0,
ORGANIZATION_TYPE,0.0,1.0,0.5,0,
