serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2023-11-10 17:31:28.751988,6505e1d7baa4d89f7a2f3b53,,,Login,,,,
2,2023-11-10 17:37:20.487424,6505e1d7baa4d89f7a2f3b53,140135,None,APPLICATIONROW_CLICKED_Applications_List,None,140135,None,None
3,2023-11-10 17:37:21.094363,6505e1d7baa4d89f7a2f3b53,140135,None,APPLICATIONROW_CLICKED_Applications_List,None,140135,None,None
4,2023-11-10 17:37:21.097075,6505e1d7baa4d89f7a2f3b53,140135,None,APPLICATIONROW_CLICKED_Applications_List,None,140135,None,None
5,2023-11-10 17:37:21.355929,6505e1d7baa4d89f7a2f3b53,140135,None,APPLICATIONROW_CLICKED_Applications_List,None,140135,None,None
6,2023-11-10 17:37:21.616959,6505e1d7baa4d89f7a2f3b53,140135,None,APPLICATIONROW_CLICKED_Applications_List,None,140135,None,None
7,2023-11-10 17:38:00.864849,6505e1d7baa4d89f7a2f3b53,0,None,apply_refine_search,Number of times social circle defaulted on loan for 60 days,0-2,,
8,2023-11-10 17:38:02.896679,6505e1d7baa4d89f7a2f3b53,0,None,apply_refine_search,,,,
9,2023-11-10 17:38:07.164441,6505e1d7baa4d89f7a2f3b53,0,None,apply_refine_search,Number of children,0-2,,
10,2023-11-10 17:38:09.355770,6505e1d7baa4d89f7a2f3b53,0,None,apply_refine_search,,,,
11,2023-11-10 17:38:15.169713,6505e1d7baa4d89f7a2f3b53,0,None,apply_refine_search,Loan Credit amount ,<250K,,
12,2023-11-10 17:38:30.555886,6505e1d7baa4d89f7a2f3b53,198395,None,APPLICATIONROW_CLICKED_Applications_List,None,198395,None,None
13,2023-11-10 17:38:31.151945,6505e1d7baa4d89f7a2f3b53,198395,None,APPLICATIONROW_CLICKED_Applications_List,None,198395,None,None
14,2023-11-10 17:38:31.382527,6505e1d7baa4d89f7a2f3b53,198395,None,APPLICATIONROW_CLICKED_Applications_List,None,198395,None,None
15,2023-11-10 17:38:54.599525,6505e1d7baa4d89f7a2f3b53,140328,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [{'attribute': 'Loan Credit amount ', 'value': '0.051'}, {'attribute': 'Age', 'value': '0.055'}], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.009""},{""attribute"":""Income"",""value"":""0.062""},{""attribute"":""Loan Credit amount "",""value"":""0.086""},{""attribute"":""Loan annuity"",""value"":""0.032""},{""attribute"":""Goods Price"",""value"":""0.058""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.056""},{""attribute"":""Age"",""value"":""0.067""},{""attribute"":""Years in current employment"",""value"":""0.056""},{""attribute"":""Years since changing registration"",""value"":""0.058""},{""attribute"":""Years since changing  identity document"",""value"":""0.043""},{""attribute"":""Has Mobile"",""value"":""0""},{""attribute"":""Has Employee Phone"",""value"":""0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0""},{""attribute"":""Has Phone"",""value"":""0.009""},{""attribute"":""Has email"",""value"":""0.009""},{""attribute"":""Number of family members"",""value"":""0.007""},{""attribute"":""Region\'s Rating"",""value"":""0.011""},{""attribute"":""Region & City Rating"",""value"":""0.019""},{""attribute"":""Application Hour"",""value"":""0.034""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.004""},{""attribute"":""Contact address located in work region"",""value"":""0""},{""attribute"":""Contact city in Registration city"",""value"":""0.013""},{""attribute"":""Work address in Registration city"",""value"":""0.006""},{""attribute"":""Contact city in work city"",""value"":""0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.015""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.006""},{""attribute"":""Years since changing phone"",""value"":""0.028""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.011""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.03""},{""attribute"":""Installments"",""value"":""0.007""},{""attribute"":""Gender"",""value"":""0.019""},{""attribute"":""Owns Car"",""value"":""0.028""},{""attribute"":""Owns Property"",""value"":""0.011""},{""attribute"":""Accompanied while applying"",""value"":""0.009""},{""attribute"":""Income type"",""value"":""0.015""},{""attribute"":""Highest education level"",""value"":""0.017""},{""attribute"":""Family status"",""value"":""0.017""},{""attribute"":""Housing situation"",""value"":""0.007""},{""attribute"":""Occupation Type"",""value"":""0.034""},{""attribute"":""Application Day"",""value"":""0.021""},{""attribute"":""Employer organization"",""value"":""0.036""}]'}",0,0
16,2023-11-10 17:39:13.283425,6505e1d7baa4d89f7a2f3b53,140328,None,REVERTBUTTON_CLICKED,,,0,0
17,2023-11-10 17:39:35.770229,6505e1d7baa4d89f7a2f3b53,0,None,SORTING_CLICKED_Fairness_Metrics_Attribute,None,ascend,,
18,2023-11-10 17:39:37.477100,6505e1d7baa4d89f7a2f3b53,0,None,SORTING_CLICKED_Fairness_Metrics_Attribute,None,descend,,
