serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2023-11-10 17:57:48.882080,6511fd9e06231927b6398700,,,Login,,,,
2,2023-11-10 18:00:23.235127,6511fd9e06231927b6398700,140135,None,APPLICATIONROW_CLICKED_Applications_List,None,140135,None,None
3,2023-11-10 18:00:24.130385,6511fd9e06231927b6398700,270173,None,APPLICATIONROW_CLICKED_Applications_List,None,270173,None,None
4,2023-11-10 18:00:25.490003,6511fd9e06231927b6398700,140135,None,APPLICATIONROW_CLICKED_Applications_List,None,140135,None,None
5,2023-11-10 18:00:26.496578,6511fd9e06231927b6398700,140135,None,APPLICATIONROW_CLICKED_Applications_List,None,140135,None,None
6,2023-11-10 18:00:47.759116,6511fd9e06231927b6398700,140135,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.009""},{""attribute"":""Income"",""value"":""0.062""},{""attribute"":""Loan Credit amount "",""value"":""0.086""},{""attribute"":""Loan annuity"",""value"":""0.032""},{""attribute"":""Goods Price"",""value"":""0.058""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.056""},{""attribute"":""Age"",""value"":""0.067""},{""attribute"":""Years in current employment"",""value"":""0.056""},{""attribute"":""Years since changing registration"",""value"":""0.058""},{""attribute"":""Years since changing  identity document"",""value"":""0.043""},{""attribute"":""Has Mobile"",""value"":""0""},{""attribute"":""Has Employee Phone"",""value"":""0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0""},{""attribute"":""Has Phone"",""value"":""0.009""},{""attribute"":""Has email"",""value"":""0.009""},{""attribute"":""Number of family members"",""value"":""0.007""},{""attribute"":""Region\'s Rating"",""value"":""0.011""},{""attribute"":""Region & City Rating"",""value"":""0.019""},{""attribute"":""Application Hour"",""value"":""0.034""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.004""},{""attribute"":""Contact address located in work region"",""value"":""0""},{""attribute"":""Contact city in Registration city"",""value"":""0.013""},{""attribute"":""Work address in Registration city"",""value"":""0.006""},{""attribute"":""Contact city in work city"",""value"":""0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.015""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.006""},{""attribute"":""Years since changing phone"",""value"":""0.028""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.011""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.03""},{""attribute"":""Installments"",""value"":""0.007""},{""attribute"":""Gender"",""value"":""0.019""},{""attribute"":""Owns Car"",""value"":""0.028""},{""attribute"":""Owns Property"",""value"":""0.011""},{""attribute"":""Accompanied while applying"",""value"":""0.009""},{""attribute"":""Income type"",""value"":""0.015""},{""attribute"":""Highest education level"",""value"":""0.017""},{""attribute"":""Family status"",""value"":""0.017""},{""attribute"":""Housing situation"",""value"":""0.007""},{""attribute"":""Occupation Type"",""value"":""0.034""},{""attribute"":""Application Day"",""value"":""0.021""},{""attribute"":""Employer organization"",""value"":""0.036""}]'}",0,0
7,2023-11-10 18:00:54.348341,6511fd9e06231927b6398700,270173,None,APPLICATIONROW_CLICKED_Applications_List,None,270173,None,None
8,2023-11-10 18:00:55.193384,6511fd9e06231927b6398700,270173,None,APPLICATIONROW_CLICKED_Applications_List,None,270173,None,None
9,2023-11-10 18:01:21.397051,6511fd9e06231927b6398700,270173,None,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [{'attribute': 'Owns Car', 'value': '0.028'}], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.009""},{""attribute"":""Income"",""value"":""0.062""},{""attribute"":""Loan Credit amount "",""value"":""0.086""},{""attribute"":""Loan annuity"",""value"":""0.032""},{""attribute"":""Goods Price"",""value"":""0.058""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.056""},{""attribute"":""Age"",""value"":""0.067""},{""attribute"":""Years in current employment"",""value"":""0.056""},{""attribute"":""Years since changing registration"",""value"":""0.058""},{""attribute"":""Years since changing  identity document"",""value"":""0.043""},{""attribute"":""Has Mobile"",""value"":""0""},{""attribute"":""Has Employee Phone"",""value"":""0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0""},{""attribute"":""Has Phone"",""value"":""0.009""},{""attribute"":""Has email"",""value"":""0.009""},{""attribute"":""Number of family members"",""value"":""0.007""},{""attribute"":""Region\'s Rating"",""value"":""0.011""},{""attribute"":""Region & City Rating"",""value"":""0.019""},{""attribute"":""Application Hour"",""value"":""0.034""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.004""},{""attribute"":""Contact address located in work region"",""value"":""0""},{""attribute"":""Contact city in Registration city"",""value"":""0.013""},{""attribute"":""Work address in Registration city"",""value"":""0.006""},{""attribute"":""Contact city in work city"",""value"":""0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.015""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.006""},{""attribute"":""Years since changing phone"",""value"":""0.028""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.011""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.03""},{""attribute"":""Installments"",""value"":""0.007""},{""attribute"":""Gender"",""value"":""0.019""},{""attribute"":""Owns Car"",""value"":""0.028""},{""attribute"":""Owns Property"",""value"":""0.011""},{""attribute"":""Accompanied while applying"",""value"":""0.009""},{""attribute"":""Income type"",""value"":""0.015""},{""attribute"":""Highest education level"",""value"":""0.017""},{""attribute"":""Family status"",""value"":""0.017""},{""attribute"":""Housing situation"",""value"":""0.007""},{""attribute"":""Occupation Type"",""value"":""0.034""},{""attribute"":""Application Day"",""value"":""0.021""},{""attribute"":""Employer organization"",""value"":""0.036""}]'}",0,0
10,2023-11-10 18:01:25.325174,6511fd9e06231927b6398700,447461,None,APPLICATIONROW_CLICKED_Applications_List,None,447461,None,None
